<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US2.ADBE,D,20141211,000000,69.7700000
US2.ADBE,D,20141212,000000,76.0200000
US2.ADBE,D,20141215,000000,73.0200000
US2.ADBE,D,20141216,000000,72.3500000
US2.ADBE,D,20141217,000000,73.9900000
US2.ADBE,D,20141218,000000,74.8600000
US2.ADBE,D,20141219,000000,74.4500000
US2.ADBE,D,20141222,000000,74.4950000
US2.ADBE,D,20141223,000000,74.3900000
US2.ADBE,D,20141224,000000,74.7400000
US2.ADBE,D,20141226,000000,74.6700000
US2.ADBE,D,20141229,000000,74.1400000
US2.ADBE,D,20141230,000000,73.1500000
US2.ADBE,D,20141231,000000,72.7000000
US2.ADBE,D,20150102,000000,72.3300000
US2.ADBE,D,20150105,000000,72.0000000
US2.ADBE,D,20150106,000000,70.5100000
US2.ADBE,D,20150107,000000,71.1200000
US2.ADBE,D,20150108,000000,72.9100000
US2.ADBE,D,20150109,000000,71.8400000
US2.ADBE,D,20150112,000000,71.1200000
US2.ADBE,D,20150113,000000,70.5600000
US2.ADBE,D,20150114,000000,69.9400000
US2.ADBE,D,20150115,000000,70.3000000
US2.ADBE,D,20150116,000000,71.7300000
US2.ADBE,D,20150120,000000,71.5000000
US2.ADBE,D,20150121,000000,71.5500000
US2.ADBE,D,20150122,000000,73.5000000
US2.ADBE,D,20150123,000000,74.0700000
US2.ADBE,D,20150126,000000,72.7100000
US2.ADBE,D,20150127,000000,71.4450000
US2.ADBE,D,20150128,000000,70.2600000
US2.ADBE,D,20150129,000000,71.6700000
US2.ADBE,D,20150130,000000,70.1600000
US2.ADBE,D,20150202,000000,71.0900000
US2.ADBE,D,20150203,000000,71.8800000
US2.ADBE,D,20150204,000000,72.2400000
US2.ADBE,D,20150205,000000,73.0600000
US2.ADBE,D,20150206,000000,72.5000000
US2.ADBE,D,20150209,000000,72.3300000
US2.ADBE,D,20150210,000000,72.7600000
US2.ADBE,D,20150211,000000,72.9900000
US2.ADBE,D,20150212,000000,74.5900000
US2.ADBE,D,20150213,000000,76.5000000
US2.ADBE,D,20150217,000000,77.1100000
US2.ADBE,D,20150218,000000,77.7200000
US2.ADBE,D,20150219,000000,77.7500000
US2.ADBE,D,20150220,000000,78.5500000
US2.ADBE,D,20150223,000000,78.0800000
US2.ADBE,D,20150224,000000,77.6600000
US2.ADBE,D,20150225,000000,78.0500000
US2.ADBE,D,20150226,000000,78.9500000
US2.ADBE,D,20150227,000000,79.1200000
US2.ADBE,D,20150302,000000,79.7800000
US2.ADBE,D,20150303,000000,78.9800000
US2.ADBE,D,20150304,000000,77.6300000
US2.ADBE,D,20150305,000000,78.6200000
US2.ADBE,D,20150306,000000,77.5600000
US2.ADBE,D,20150309,000000,77.9200000
US2.ADBE,D,20150310,000000,76.0200000
US2.ADBE,D,20150311,000000,76.0100000
US2.ADBE,D,20150312,000000,77.4100000
US2.ADBE,D,20150313,000000,77.6000000
US2.ADBE,D,20150316,000000,78.3300000
US2.ADBE,D,20150317,000000,79.6500000
US2.ADBE,D,20150318,000000,76.8400000
US2.ADBE,D,20150319,000000,77.1500000
US2.ADBE,D,20150320,000000,77.4500000
US2.ADBE,D,20150323,000000,76.3500000
US2.ADBE,D,20150324,000000,75.4400000
US2.ADBE,D,20150325,000000,73.1650000
US2.ADBE,D,20150326,000000,72.9500000
US2.ADBE,D,20150327,000000,73.3100000
US2.ADBE,D,20150330,000000,73.5900000
US2.ADBE,D,20150331,000000,74.0400000
US2.ADBE,D,20150401,000000,75.0200000
US2.ADBE,D,20150402,000000,75.7000000
US2.ADBE,D,20150406,000000,76.2200000
US2.ADBE,D,20150407,000000,75.6500000
US2.ADBE,D,20150408,000000,75.4400000
US2.ADBE,D,20150409,000000,76.3300000
US2.ADBE,D,20150410,000000,76.5200000
US2.ADBE,D,20150413,000000,76.0200000
US2.ADBE,D,20150414,000000,75.9500000
US2.ADBE,D,20150415,000000,76.0300000
US2.ADBE,D,20150416,000000,75.1800000
US2.ADBE,D,20150417,000000,73.1350000
US2.ADBE,D,20150420,000000,73.8900000
US2.ADBE,D,20150421,000000,74.6300000
US2.ADBE,D,20150422,000000,75.5050000
US2.ADBE,D,20150423,000000,76.5400000
US2.ADBE,D,20150424,000000,76.5500000
